userName,score,at,content
Rully Pohan,1,2022-11-04 12:04:57,"kiosk matic gak berfungsi, order bright gas gak bisa, banyak fitur yg gak berfungsi"
Novitriyani Sekarjati,1,2022-11-04 07:48:52,"Ga niat bikin app kah? I spent an hour at spbu, karena link aja ga bisa konek setelah sebelumnya terhubung. Sekarang spbu ga terima pembayaran link aja karena mereka bilang suka error, sedangkan pembayaran dengan my pertamina bagi pelanggan, di mana aplikasi my pertamina lebih sering error itu lebih merugikan dan sangat tidak ramah pembayaran dengan e-wallet/e-money."
Lucky Jaya,3,2022-11-03 23:56:43,"ngga bisa login, lucu yaa 🤣🤣"
Nanang Fauzi,1,2022-11-03 15:45:38,"Saya sudah daftar untuk mobil pribadi, meskipun harus upload foto kendaraan dan STNK berulang kali hingga akhirnya bisa di approve. Kemudian saya menambahkan data kendaraan operasional kantor, begitu saya update datanya, data kendaraan pribadi ikut terupdate dan menunggu verifikasi ulang, beberapa hari kemudian dapat notif data ditolak untuk kedua duanya. Ingin berkata kasar rasanya....!!!!"
Azzar Hanif,1,2022-11-03 06:39:27,Sering error
Hafizd Adityo Utomo,1,2022-11-02 21:02:25,Useless app ever
Muhammad Nur Aiman,1,2022-11-02 19:37:19,Udah disave tapi masih ngga kesave ngulang ngulang terus payahhh
silvano leonardi,3,2022-11-02 10:03:03,Katanya bs connect ovo. Tp kok hrs connect ke linkaja dulu? Gmn sih. Gak guna dong ada ovo. Klo ttp harus ada linkaja dlu
Anisa,1,2022-11-01 22:36:41,"bad,"
EZRA SONNY,1,2022-11-01 21:40:22,Need another payment methode beside LinkAja
Gerry Ferdiansyah,1,2022-11-01 21:08:50,Ini server MyPertamina lemot apa gimana sih? Setiap petugas SPBU mau bikin qrcode pembayaran loadingnya lama banget dan seringnya gagal. Bikin antrian makin panjang aja.
Ichsan Abbas,1,2022-11-01 20:10:42,Tidak bisa isi pertalite karna mobil saya grandmax pickup didata terdaftar di biosolar.
Made Supriatma,1,2022-11-01 19:01:19,Buruk sekali. Saya puluhan kali mau mendaftar kendaraan saya nggak bisa.
Riyanto Gozali,1,2022-11-01 17:52:53,sulit dipakainya tidak user friendly
Fadhlan Zubairi,1,2022-11-01 16:18:48,Gak bisa disambungkan ke linkaja 👎
anthony wu,1,2022-11-01 08:54:51,"Bad app, ribet tidak terintergrasi dan buang waktu... Yg bikin app bodoh.. Gw buang aja app ngga guna juga."
Dhoni Arya Khairi,1,2022-10-31 08:16:34,"Gak jelas penggunaannya sampai saat ini, maksud dan tujuannya gak nyambung"
Sardjana Sandhiana,5,2022-10-30 20:39:01,Good
ruth samuel,1,2022-10-30 19:32:38,"Data dipakai orang lain utk bio solar, padahal kendaraan saya bensin. Saya yg punya STNK asli dari awal malah ditolak dengan catatan STNK tidak jelas."
Rizki Workaja,1,2022-10-30 10:30:01,"untuk terhubung ovo harus konek dulu linkaja, daftar harus pake usia, sangat gak efektif dan takada guna."
Dipa Wiryatama,1,2022-10-30 06:44:10,Tampilan doang dicakepin. Layanan noh beresin. Orang verifikasi berbulan2 g beres2. Kalo bs kasih bintang 0 gw kasih dh.
